epoch,train_loss,train_acc,val_loss,val_acc
1,0.781637174808062,0.7239084170414851,0.5980744449531331,0.7729779411764706
2,0.6472938267084268,0.7604114119823162,0.5803467666401583,0.7738970588235294
3,0.5979412010082832,0.7733685374259949,0.5627169258454267,0.7702205882352942
4,0.5742848593455094,0.7789092054733864,0.5496723827193765,0.7757352941176471
5,0.5708056413210355,0.7777309271005484,0.5423547941095689,0.7830882352941176
6,0.5613980550032396,0.7919017965977009,0.5339981843443478,0.78125
7,0.5395067182871012,0.7864202398520249,0.527263359111898,0.7766544117647058
8,0.5374249829695775,0.7866842682545002,0.5258573679363027,0.7840073529411765
9,0.5377370178699493,0.791121532366826,0.5246092729708728,0.78125
10,0.5219883451094994,0.7938248735207778,0.5214317826663747,0.7849264705882353
11,0.5246068495970506,0.7962405424851637,0.5199405901572284,0.7830882352941176
12,0.5279314123667204,0.7938485182248629,0.5154544115066528,0.7803308823529411
13,0.524204184458806,0.7880674655620868,0.5124842629713171,0.7738970588235294
14,0.5168941584917215,0.7929106244674096,0.5076687125598683,0.7784926470588235
15,0.5186626571875352,0.7909639028402475,0.5099214788745431,0.7775735294117647
16,0.5086802537624653,0.7928278684616089,0.5035206728121814,0.7867647058823529
17,0.5087317975667807,0.7896910465680635,0.5011312838862924,0.78125
18,0.5082502420131977,0.7950859078994164,0.5013679125729729,0.7886029411764706
19,0.5004256849105542,0.7921303593195401,0.5000590699560502,0.7840073529411765
20,0.5056104591259589,0.7935726670118478,0.4957612840568318,0.7867647058823529
21,0.5097975657536433,0.796252364378709,0.49538349929977865,0.7830882352941176
22,0.5021573199675633,0.7933441042900086,0.4948805149863748,0.78125
23,0.4979573456140665,0.7972257247337928,0.4966219523373772,0.7775735294117647
24,0.4936962879621066,0.7962168977810786,0.4923456644310671,0.7794117647058824
25,0.4987595062989455,0.7969853401184082,0.49250509107814117,0.7858455882352942
26,0.49010542997947104,0.795231714615455,0.49366790231536417,0.7840073529411765
27,0.49179441837164073,0.7991251578697791,0.48981068590108084,0.7784926470588235
28,0.49125173412836515,0.7998581336094783,0.48757194420870614,0.7821691176470589
29,0.4925396790871253,0.7981636194082407,0.4858816739390878,0.7830882352941176
30,0.48562718308888947,0.8025378309763395,0.48847797688315897,0.7757352941176471
31,0.4827599176993737,0.7957715951479398,0.48387346197577086,0.7830882352941176
32,0.48721269139876733,0.7954839220413795,0.48560285743545084,0.7775735294117647
33,0.4742090784586393,0.8065534362426171,0.487801450140336,0.7849264705882353
34,0.47647172671097976,0.7967094889053932,0.48413659544552073,0.78125
35,0.4828327362353985,0.8010837013904865,0.48122842171612906,0.7840073529411765
36,0.47842310987986053,0.7969380516272325,0.48155399981667013,0.7849264705882353
37,0.4730383799626277,0.8046303593195402,0.4835170682738809,0.78125
38,0.4716318511045896,0.8053396912721488,0.4818161112420699,0.78125
39,0.4750203031759996,0.8046540040236253,0.4847606525701635,0.78125
40,0.4747696133760306,0.7983448927219098,0.48264423713964577,0.7858455882352942
41,0.4744807908168206,0.8017812105325552,0.4823947881951052,0.7830882352941176
42,0.46694230528978203,0.8041259453846858,0.4813806642504299,0.7867647058823529
43,0.4680711723290957,0.8044372631953313,0.4816933870315552,0.7803308823529411
44,0.4664199022146372,0.8001339848224933,0.47874867039568286,0.7904411764705882
45,0.47073627847891586,0.8063248735207778,0.4790024599608253,0.8005514705882353
46,0.4732779232355265,0.8059032155917241,0.4761669074787813,0.7886029411764706
47,0.46703255772590635,0.8013359078994164,0.478673600098666,0.7794117647058824
48,0.457687488427529,0.8063721629289481,0.48047159173909354,0.7830882352941176
49,0.4677468698758345,0.8082243066567641,0.4805070004042457,0.7858455882352942
50,0.46369746235700754,0.8073455232840318,0.47454890784095316,0.7876838235294118
51,0.46051880167080805,0.8066125475443326,0.47968774157411914,0.7867647058823529
52,0.46460522138155425,0.8034993694378779,0.4758007298497593,0.7959558823529411
53,0.45969231541340166,0.8097139028402475,0.4747355177122004,0.7876838235294118
54,0.4560258672787593,0.8091976670118478,0.47471486820894127,0.7858455882352942
55,0.4570530377901517,0.8027427489940937,0.47246621461475596,0.7904411764705882
56,0.4583631341273968,0.8039919605621925,0.47503411769866943,0.7840073529411765
57,0.4524430852669936,0.8097966579290536,0.47171657050357146,0.7987132352941176
58,0.4536211275137388,0.8085238016568698,0.47026493444162254,0.7959558823529411
59,0.452603037082232,0.8075386194082407,0.4716962365543141,0.7950367647058824
60,0.45341776655270505,0.8087760090827942,0.474317250882878,0.7941176470588235
61,0.4507697410308398,0.8073100566864013,0.473244309425354,0.7977941176470589
62,0.4492906726323641,0.8131029321597173,0.47474995781393614,0.7977941176470589
63,0.4461572316976694,0.818320460502918,0.47231704347273884,0.7977941176470589
64,0.4451118145997708,0.8094853401184082,0.4717228395097396,0.7913602941176471
65,0.4444979647031197,0.8061199555030236,0.47184468893443837,0.7931985294117647
66,0.45327714498226457,0.8131383987573477,0.47255319181610556,0.7849264705882353
67,0.4469101552779858,0.8111089220413795,0.469293557545718,0.7931985294117647
68,0.4410744818357321,0.8174653218342708,0.4711494901601006,0.7931985294117647
69,0.44564794898033144,0.8049062105325552,0.4701089596047121,0.7950367647058824
70,0.44262927633065446,0.8120822823964633,0.4702133115600137,0.7931985294117647
71,0.45034945836434,0.8046421812130855,0.4715002442107481,0.7876838235294118
72,0.43581833724792185,0.8159757247337929,0.4701672827496248,0.796875
73,0.4400948852300644,0.8104705232840318,0.4690888138378368,0.7913602941176471
74,0.43793068940822893,0.8161924655620868,0.4723848910892711,0.7931985294117647
75,0.4412919159118946,0.8121295708876389,0.4720783145988689,0.796875
76,0.436536712371386,0.8152191042900085,0.4730840465601753,0.7931985294117647
77,0.43399986028671267,0.815254570887639,0.47068749981767993,0.7922794117647058
78,0.44098764887222874,0.8138122631953313,0.47001558717559366,0.7987132352941176
79,0.4313887839133923,0.8174062105325552,0.4708460446666269,0.8005514705882353
80,0.4372646634395306,0.8231399747041556,0.47140902806730833,0.7950367647058824
81,0.43388117368404683,0.8180800758875333,0.47162124339271994,0.796875
82,0.4259524485239616,0.8142693886390099,0.46965450574369993,0.7895220588235294
83,0.44013017553549544,0.8111562105325553,0.4701408077688778,0.7931985294117647
84,0.4395482906928429,0.8152191042900085,0.4703570481608896,0.7895220588235294
85,0.42639536399107714,0.8193411093491775,0.46785647728863883,0.7950367647058824
86,0.42753273019423854,0.8217449555030236,0.4686773349257076,0.7996323529411765
87,0.42129705135638895,0.819581493964562,0.4703476411454818,0.7931985294117647
88,0.43212298063131477,0.8212050758875333,0.46974628287203174,0.7950367647058824
89,0.42932533209140483,0.8144624838462242,0.47001778202898364,0.796875
90,0.433549892443877,0.8178988016568698,0.47103652533362894,0.7904411764705882
91,0.42190715487186725,0.8205193886390099,0.4705481003312504,0.8014705882352942
92,0.42350096656725955,0.8188485182248629,0.46933792443836436,0.8014705882352942
93,0.4262333526061131,0.818379570887639,0.4675902198342716,0.796875
94,0.41985714252178485,0.8178751578697792,0.4697335888357723,0.7959558823529411
95,0.4212902431304638,0.8237271437278161,0.4695623902713551,0.7996323529411765
96,0.4196119698194357,0.8210119797633244,0.4687594070154078,0.7977941176470589
97,0.41505316610519705,0.8233330708283645,0.47094310206525464,0.796875
98,0.41875484173114486,0.8167441679881169,0.46750017474679384,0.7977941176470589
99,0.4188464132639078,0.8239557064496554,0.4746500376392813,0.7941176470588235
100,0.42097383875113265,0.8222257247337929,0.4736018636647393,0.7941176470588235
101,0.42168454894652735,0.8198455232840318,0.4727298477116753,0.7977941176470589
102,0.41963683779423055,0.8222611913314233,0.4693550449960372,0.7959558823529411
103,0.4172193861924685,0.823451292514801,0.46944626815178814,0.7987132352941176
